game,name,final,coryat,right,wrong
6183,Kevin,4000,5200,13,2
6183,Maggie,7000,9400,13,4
6183,Jonathan,16500,14600,18,2
6184,Jonathan,24001,19400,30,4
6184,Danielle,1000,11800,15,2
6184,Jordan,400,2400,6,2
6185,Jonathan,22401,20200,20,1
6185,Chrissy,6200,11200,19,2
6185,Cade,20200,9000,14,4
6186,Jonathan,30399,13000,20,3
6186,Robert,8000,13400,16,1
6186,Chelsea,10800,9800,12,2
6187,Jonathan,5999,15000,18,2
6187,Meredith,6002,10200,15,4
6187,Zorn,7400,11200,18,3
6188,Zorn,8800,6000,16,8
6188,Jessica,26001,13200,17,0
6188,Jeff,25950,11600,17,1
6189,Jessica,28400,14200,18,4
6189,Siobhan,10399,18200,19,1
6189,Evan,2599,8400,14,2
6190,Jessica,25600,12600,22,2
6190,Dave,-800,3600,10,4
6190,Anneke,25601,16800,16,0
6191,Anneke,12100,21400,25,1
6191,Sarah,1000,4000,11,2
6191,Jocelyn,8400,13600,14,0
6192,Anneke,26801,19800,24,4
6192,Charlie,17900,8400,12,0
6192,Suzy,26400,12200,17,2
6193,Anneke,39995,20000,24,2
6193,Kathleen,1087,19200,18,0
6193,Evan,10000,9000,17,2
6194,Anneke,0,13800,18,7
6194,John,12000,7400,15,1
6194,Jill,7799,13000,15,3
6195,John,25200,17600,24,1
6195,Frank,8799,9800,16,1
6195,Caroline,11801,7400,13,3
6196,John,30000,22000,30,4
6196,Megan,3300,9000,15,2
6196,David,11199,14600,14,1
6197,John,25000,21200,25,3
6197,Kelsey,10000,10000,15,1
6197,Humzah,-2600,-3000,12,7
6198,John,14800,13800,17,2
6198,Haley,27400,16000,22,4
6198,Julie,7200,6400,11,2
6199,Haley,25200,11600,16,2
6199,Rachel,29600,14400,22,3
6199,Tim,2399,15400,18,2
6200,Rachel,-1600,2000,8,4
6200,Aaron,14401,13600,18,5
6200,Nancy,12401,9200,19,4
6201,Aaron,13300,12000,20,1
6201,Christopher,0,6600,11,5
6201,Steve-O,33201,21000,21,1
6202,Steve-O,31500,11200,21,4
6202,Jill,31601,19200,21,1
6202,Saurabh,5000,4000,6,2
6203,Jill,20001,17400,20,1
6203,Chris,14401,14000,19,2
6203,Ni̱o,1599,5800,8,1
6204,Jill,4799,8000,14,0
6204,Sean,15199,16600,25,4
6204,Joan,21300,11200,12,3
6205,Joan,7500,6000,13,7
6205,Meghan,27190,14000,24,4
6205,J.B.,799,9200,16,6
6206,Meghan,31100,12200,23,5
6206,Will,32601,15600,20,3
6206,Karen,16800,11800,13,1
6210,Will,22401,21000,24,3
6210,Susan,11800,12800,17,1
6210,Morgan,21201,11200,15,1
6211,Will,15599,21400,27,5
6211,Jade,1,4600,10,3
6211,John,1000,13400,15,0
6213,Will,0,13200,19,2
6213,Bryan,500,11800,17,1
6213,Bif,28001,19600,19,0
6214,Bif,32800,28200,31,1
6214,Amanda,6399,3200,5,1
6214,Alan,8000,9000,17,4
6215,Bif,8599,10600,18,3
6215,Josh?,3999,15000,19,3
6215,Rebecca,7000,5800,10,1
6216,Bif,27801,14000,18,1
6216,Karen,14000,7000,11,0
6216,Eric,48001,26400,27,1
6217,Eric,28900,20800,28,2
6217,Rob,12801,10400,16,2
6217,Ellen,10401,9400,11,1
6218,Eric,14300,26600,30,2
6218,Susie,2600,8600,9,0
6218,Seth,1,12200,17,1
6219,Eric,14401,15600,20,5
6219,Alex,2000,2600,8,1
6219,Mitch,5400,16600,23,3
6220,Eric,6199,18400,27,3
6220,Amanda,13200,15800,15,0
6220,Mark,6000,5800,11,4
6221,Amanda,8399,13400,16,1
6221,Rachel,8400,7200,13,3
6221,Doug,1599,9600,18,4
6222,Rachel,5600,12000,14,3
6222,Matt,23999,12400,19,2
6222,Dana,26401,13400,20,2
6229,Team Buzzy,0,15200,22,1
6229,Team Colby,7600,16200,15,1
6229,Team Austin,5200,15600,19,2
6231,Team Ken,32500,22800,22,1
6231,Team Brad,36000,19600,26,0
6231,Team Colby,8000,4000,6,1
6233,Dana,6000,11000,14,3
6233,Eric,1599,10000,14,4
6233,Tim,5999,13600,21,3
6234,Dana,31601,16200,19,1
6234,Kristin,20500,12000,20,2
6234,Hope,31600,14600,15,0
6235,Dana,8799,17800,19,1
6235,Josh,3199,13400,17,1
6235,Conor,9600,9200,14,1
6236,Conor,3200,8000,17,5
6236,Elaine,15100,10200,15,1
6236,Scott,1400,13400,18,3
6237,Elaine,12800,13800,16,3
6237,Evan,1400,10600,18,1
6237,Barton,23200,10600,16,3
6238,Barton,32800,13000,16,2
6238,Adrian,10000,6000,11,2
6238,Sam,1999,17000,22,1
6239,Barton,35200,13800,16,0
6239,Lindsey,35201,23800,26,1
6239,Kevin,15200,7000,10,1
6240,Lindsey,20000,21400,24,1
6240,Brad,16001,8800,15,1
6240,Bianca,5,8000,12,1
6242,Lindsey,24401,18000,25,2
6242,Lauren,-200,-200,8,5
6242,Brian,61,11600,19,3
6243,Lindsey,21400,26000,27,0
6243,Bren,6300,5400,11,3
6243,Megan,6700,5200,10,2
6245,Lindsey,5,12400,18,3
6245,Jonathan,22001,12800,18,3
6245,Karen,0,8200,14,1
6246,Jonathan,26801,15600,19,2
6246,Kate,26400,14800,16,1
6246,Stephanie,11000,13000,17,0
6247,Jonathan,0,10800,19,4
6247,Jeff,0,16800,18,4
6247,Dave,4600,9200,15,2
6248,Dave,18600,14000,18,1
6248,Ryan,400,8000,12,5
6248,Mara,7799,3400,12,7
6249,Dave,0,10600,18,4
6249,John,5100,10200,14,1
6249,Emma,12600,14000,17,3
6250,Emma,5400,10600,10,1
6250,Amy,5200,5200,7,1
6250,Steven,21600,21200,32,1
6251,Steven,35601,24200,30,1
6251,Sarah,9200,9200,11,0
6251,Kenji,27001,14400,15,1
6252,Steven,6999,17800,21,1
6252,Natasha,5000,14600,18,3
6252,Andrew,2300,13800,18,1
6253,Steven,24100,16800,24,2
6253,Roberta,5,3000,5,1
6253,Reid,10799,25600,26,2
6254,Steven,27201,18600,24,3
6254,Erich,0,9600,10,1
6254,Anika,7999,13600,18,1
6255,Steven,1,9200,14,2
6255,Rose,25599,12400,15,2
6255,Alex,26000,17600,25,2
6256,Alex,20000,17000,25,2
6256,Anna,3200,1600,1,1
6256,James,43680,27800,31,1
6257,James,38926,18800,22,1
6257,Satish,12600,15000,18,1
6257,Marshall,2445,4000,15,4
6258,James,50845,28400,30,1
6258,Maryanne,10000,6000,8,1
6258,Matthew,12000,13400,17,1
6259,James,110914,35400,42,1
6259,Ariana,7100,6400,10,3
6259,Sameer,12801,7000,8,1
6260,James,54322,28600,31,2
6260,Jeff,-600,-600,4,3
6260,Laura,6800,12800,18,2
6261,James,27190,18200,25,2
6261,Stephanie,6300,9200,11,1
6261,Lewis,23000,13000,14,0
6262,James,89158,29400,32,0
6262,Ali,14801,13200,16,0
6262,Mike,7100,7400,12,2
6263,James,45444,30800,37,2
6263,Kevin,12400,12400,15,1
6263,Megan,1000,4800,5,2
6265,James,106181,36000,42,2
6265,Adam,1,11200,14,0
6265,Katie,0,0,3,1
6266,James,131127,36600,40,0
6266,Hannah,1000,4600,8,1
6266,Lorelle,10700,5400,7,0
6267,James,74133,33400,39,0
6267,Samantha,3199,9800,11,1
6267,Gregory,4200,8200,8,0
6268,James,80006,25600,35,4
6268,Nate,2200,2200,8,2
6268,Gabby,4500,4800,7,1
6269,James,90812,33600,37,0
6269,Rob,2727,2000,6,2
6269,Rebecca,4001,4600,11,2
6270,James,118816,34000,41,1
6270,Claudia,15601,8400,8,0
6270,Kevin,15593,7800,8,1
6271,James,73621,32000,37,1
6271,Silvija,2400,2400,7,1
6271,Wayne,19999,11400,13,0
6272,James,90812,28400,36,1
6272,Tim,0,2600,7,2
6272,Alix,5600,9600,10,0
6273,James,49600,29600,34,2
6273,Tyler,0,3600,10,5
6273,Robin,3300,5600,6,3
6274,James,54017,25600,28,1
6274,Jasmine,7800,7800,9,0
6274,Adam,53999,17000,20,0
6275,James,96726,37800,43,0
6275,Jason,5399,6400,6,1
6275,Libby,1999,7400,8,0
6276,James,101682,38200,42,0
6276,Kate,8399,4200,4,0
6276,Imar,8612,8200,10,0
6277,James,80615,31800,35,4
6277,Jessica,0,1400,6,3
6277,Josh,10200,10200,13,0
6278,James,82381,37200,43,0
6278,Pete,0,4600,7,2
6278,Carol,2399,5000,6,2
6279,Mariah,4795,2400,8,5
6279,Joe,20401,10200,26,5
6279,Julia,15200,10200,14,6
6280,Tara,2000,1000,8,4
6280,Matthew,9600,12400,21,3
6280,Trevor,15500,12800,20,3
6281,Francois,20600,26600,29,4
6281,Alexandra,5199,7000,11,1
6281,Vicki,1000,4800,10,2
6282,Sara,8399,16600,20,5
6282,Melissa,800,5400,14,5
6282,Conor,17600,9600,16,1
6283,Dave,12300,8200,14,7
6283,Benjamin,22001,13800,22,2
6283,Ellie,1,8800,11,1
6284,Joe,5399,4600,17,7
6284,Trevor,100,12600,17,2
6284,Sara,7599,14000,15,1
6285,Benjamin,5,5400,15,3
6285,Francois,18801,19200,21,3
6285,Julia,18797,9400,15,2
6286,Conor,19201,10200,16,3
6286,Dave,5399,13200,17,2
6286,Matthew,9300,9600,14,0
6287,Conor,5600,9000,20,4
6287,Francois,20400,18400,21,2
6287,Sara,4800,6800,12,2
6289,James,89229,32000,37,0
6289,Jenny,8801,4600,11,3
6289,Adam,1,4200,10,2
6290,James,86905,31400,34,0
6290,Kate,13100,6600,10,0
6290,Jason,14400,12400,14,0
6291,James,71885,31600,35,1
6291,Mary,7200,7200,11,1
6291,Liz,-2400,-400,8,5
6292,James,52108,24600,26,1
6292,Laura,1200,1200,6,2
6292,Nate,35800,19200,24,1
6293,James,74400,28200,37,2
6293,Sam,-2000,2600,10,5
6293,Susan,1800,1800,3,2
6295,James,130022,37600,40,0
6295,Monica,13195,6600,8,0
6295,Scott,12399,6200,10,0
6297,James,59381,32000,34,0
6297,Jim-Bob,10,8200,13,0
6297,Sara,16801,10200,11,0
6300,James,69033,31400,35,1
6300,Faizan,9223,13200,15,1
6300,Lisa,1,2800,6,1
6302,James,58612,26000,32,1
6302,Megan,7599,12200,12,1
6302,Rob,1,8400,12,1
6303,James,79633,33600,37,3
6303,William,1500,800,6,2
6303,Wyatt,7600,12600,16,0
6304,James,24799,23400,25,0
6304,Jay,17000,11000,13,1
6304,Emma,46801,18800,21,0
6307,Emma,24600,20800,27,2
6307,Matthew,19201,12200,14,1
6307,Liz,7200,9600,10,0
6309,Emma,25601,22200,27,1
6309,Jonathan,-2000,-2800,9,6
6309,Erin,0,14800,18,4
6311,Emma,5199,13800,16,1
6311,Brendan!,38200,14000,18,1
6311,Salom̩,32800,16400,19,0
6313,Brendan!,20500,20800,26,3
6313,Allison!,20000,10000,16,1
6313,Steven,2667,6400,9,2
6316,Brendan!,35600,14600,15,1
6316,Martin,35601,16200,21,1
6316,Mary,400,14400,20,1
6318,Martin,20601,17200,26,2
6318,Dan,40600,13400,16,1
6318,Terri,9900,5600,11,3
6320,Dan,2799,18800,26,1
6320,Ben,84,200,3,1
6320,E.J.,28800,20400,23,3
6323,E.J.,25401,20000,24,1
6323,Adrienne,24700,11600,16,1
6323,Jim,6600,10800,13,2
6324,E.J.,12499,16000,21,8
6324,Eric,8001,8000,15,4
6324,Becky,950,4000,11,5
6326,Teagan,25201,21400,24,3
6326,Stephanie,13999,9000,13,2
6326,Ryan,19301,12600,18,0
6328,Lucas,21000,18000,21,3
6328,Alison,11600,5800,12,1
6328,Eesha,19787,20200,22,0
6330,Justin,25342,22800,24,1
6330,Rohit,0,11400,16,2
6330,Sophia,13600,6800,13,3
6332,Jackson,21600,21200,21,2
6332,Sreekar,18000,12400,19,1
6332,Audrey,16800,8400,11,1
6333,Avi,25599,14200,23,0
6333,Hannah,18200,16200,15,0
6333,Shriya,23000,15800,16,1
6335,Justin,0,6600,13,5
6335,Lucas,21601,19400,23,4
6335,Hannah,100,10800,14,2
6338,Shriya,0,12200,16,1
6338,Eesha,0,9200,15,4
6338,Ryan,1599,10400,15,1
6342,Avi,24200,15600,22,1
6342,Lucas,14800,8800,13,2
6342,Ryan,15999,16200,17,0
6347,E.J.,0,15000,15,2
